source,series,period,value,unit
ecia,book_to_bill,2025-01,0.95,ratio
ecia,book_to_bill,2025-02,0.97,ratio
ecia,book_to_bill,2025-03,0.99,ratio
ecia,book_to_bill,2025-04,0.98,ratio
ecia,book_to_bill,2025-05,1.00,ratio
ecia,book_to_bill,2025-06,1.01,ratio
ecia,book_to_bill,2025-07,1.02,ratio
ecia,book_to_bill,2025-08,1.01,ratio
ecia,book_to_bill,2025-09,1.03,ratio
ecia,book_to_bill,2025-10,1.04,ratio
ecia,book_to_bill,2025-11,1.05,ratio
ecia,book_to_bill,2025-12,1.06,ratio
ecia,book_to_bill,2026-01,1.07,ratio
ecia,book_to_bill,2026-02,1.08,ratio
ecia,book_to_bill,2026-03,1.10,ratio
semi,na_billings,2025-01,3000000000,USD
semi,na_billings,2025-02,3100000000,USD
semi,na_billings,2025-03,3150000000,USD
semi,na_billings,2025-04,3200000000,USD
semi,na_billings,2025-05,3300000000,USD
semi,na_billings,2025-06,3400000000,USD
semi,na_billings,2025-07,3500000000,USD
semi,na_billings,2025-08,3600000000,USD
semi,na_billings,2025-09,3800000000,USD
semi,na_billings,2025-10,3900000000,USD
semi,na_billings,2025-11,4000000000,USD
semi,na_billings,2025-12,4150000000,USD
semi,na_billings,2026-01,4300000000,USD
semi,na_billings,2026-02,4450000000,USD
semi,na_billings,2026-03,4600000000,USD
